"","V1","V2","V3","V4","V5","V6"
"1",6129,0.4375,0.5,0.6875,0.4375,0.40625
"2",2005,0.46875,0.40625,0.53125,0.65625,0.4375
"3",1083,0.5,0.5625,0.40625,0.40625,0.4375
"4",4104,0.5,0.53125,0.40625,0.34375,0.5
"5",6048,0.46875,0.5,0.4375,0.46875,0.40625
"6",1041,0.375,0.5,0.4375,0.53125,0.625
"7",1055,0.34375,0.40625,0.5,0.375,0.4375
"8",1121,0.5625,0.59375,0.34375,0.59375,0.4375
"9",3050,0.90625,0.90625,0.90625,0.125,0.53125
"10",3091,0.4375,0.53125,0.40625,0.75,0.75
"11",7022,0.5,0.5625,0.34375,0.59375,0.8125
"12",5027,0.46875,0.53125,0.40625,0.6875,0.34375
"13",1043,0.90625,0.9375,0.9375,0.0625,0.5625
"14",1057,0.375,0.5,0.40625,0.5,0.09375
"15",6076,0.4375,0.46875,0.46875,0.59375,0.65625
"16",6062,0.25,0.46875,0.4375,0.53125,0.625
"17",3133,0.40625,0.5,0.4375,0.59375,0.125
"18",7143,0.53125,0.4375,0.5,0.53125,0.65625
"19",4066,0.4375,0.53125,0.46875,0.4375,0.46875
"20",3094,0.5,0.4375,0.53125,0.4375,0.5
"21",6113,0.59375,0.625,0.71875,0.34375,0.4375
"22",4704,0.34375,0.28125,0.625,0.4375,0.6875
"23",3123,0.5,0.59375,0.25,0.46875,0.46875
"24",6110,0.40625,0.375,0.53125,0.375,0.34375
"25",1131,0.346153846153846,0.5,0.423076923076923,0.692307692307692,0.5
"26",6138,0.46875,0.59375,0.28125,0.40625,0.1875
"27",5021,0.53125,0.5625,0.40625,0.75,0.625
"28",1092,0.46875,0.3125,0.5625,0.53125,0.1875
"29",3135,0.5625,0.53125,0.40625,0.5625,0.21875
"30",7151,0.90625,0.9375,0.9375,0.0625,0.3125
"31",5034,0.5625,0.375,0.71875,0.375,0.3125
"32",4060,0.4375,0.4375,0.5,0.78125,0.4375
"33",3032,0.285714285714286,0.333333333333333,0.571428571428571,0.666666666666667,0.571428571428571
"34",5047,0.53125,0.5,0.4375,0.71875,0.625
"35",3146,0.4,0.466666666666667,0.466666666666667,0.666666666666667,0.3
"36",1023,0.625,0.625,0.28125,0.40625,0.625
"37",6002,0.53125,0.4375,0.53125,0.46875,0.1875
"38",5052,0.6875,0.6875,0.9375,0.03125,0.46875
"39",3025,0.28125,0.4375,0.5,0.5,0.5625
"40",1140,0.40625,0.46875,0.46875,0.625,0.375
"41",7082,0.4375,0.4375,0.5,0.46875,0.5625
"42",7069,0.4375,0.5,0.4375,0.8125,0.53125
"43",4158,0.40625,0.5,0.4375,0.8125,0.5
"44",6015,0.75,0.8125,0.8125,0.3125,0.46875
"45",2064,0.4375,0.5,0.40625,0.4375,0.125
"46",7120,0.59375,0.53125,0.5625,0.40625,0.03125
"47",5086,0.40625,0.46875,0.4375,0.46875,0.40625
"48",7054,0.380952380952381,0.380952380952381,0.476190476190476,0.285714285714286,0.19047619047619
"49",5125,0.8125,0.875,0.78125,0.15625,0.375
"50",7040,0.96875,0.96875,0.96875,0,0.5625
"51",6160,0.4375,0.4375,0.5,0.625,0.5625
"52",1155,0.5625,0.5625,0.28125,0.34375,0.5625
"53",5096,0.266666666666667,0.4,0.533333333333333,0.566666666666667,0.6
