"","V1","V2","V3","V4","V5","V6"
"54",7130,0.40625,0.40625,0.53125,0.4375,0.59375
"55",3154,0.4375,0.5,0.4375,0.53125,0.625
"56",6039,0.53125,0.5,0.53125,0.4375,0.4375
"57",1030,0.32,0.4,0.48,0.64,0.6
"58",4148,0.65625,0.6875,0.6875,0.34375,0.375
"59",1144,0.5,0.5,0.4375,0.59375,0.59375
"60",1152,0.625,0.65625,0.28125,0.4375,0.5
"61",3157,0.53125,0.3125,0.59375,0.46875,0.46875
"62",6012,0.6875,0.75,0.75,0.375,0.46875
"63",5080,0.5,0.53125,0.40625,0.625,0.25
"64",5137,0.6875,0.78125,0.75,0.3125,0.46875
"65",2102,0.3125,0.46875,0.46875,0.4375,0.625
"66",2116,0.53125,0.5,0.4375,0.625,0.65625
"67",3036,0.5625,0.625,0.28125,0.46875,0.34375
"68",7088,0.375,0.53125,0.40625,0.53125,0.40625
"69",7077,0.375,0.5,0.46875,0.625,0.5
"70",7063,0.46875,0.53125,0.375,0.59375,0.40625
"71",2084,0.3125,0.46875,0.46875,0.84375,0.5
"72",3167,0.5,0.375,0.5625,0.59375,0.6875
"73",4147,0.5,0.53125,0.40625,0.65625,0.5625
"74",1017,0.53125,0.46875,0.625,0.375,0.46875
"75",5067,0.59375,0.625,0.3125,0.53125,0.6875
"76",4033,0.4375,0.46875,0.5,0.78125,0.4375
"77",5105,0.40625,0.4375,0.5,0.6875,0.71875
"78",2093,0.40625,0.4375,0.5,0.75,0.4375
"79",7114,0.34375,0.46875,0.46875,0.5625,0.375
"80",7100,0.78125,0.84375,0.375,0.15625,0.40625
"81",2044,0.4375,0.40625,0.5,0.4375,0.40625
"82",6035,0.375,0.4375,0.5,0.5625,0.65625
"83",1014,0.40625,0.5,0.53125,0.46875,0.5
"84",7049,0.586206896551724,0.586206896551724,0.310344827586207,0.586206896551724,0.620689655172414
"85",4020,0.53125,0.40625,0.5,0.5625,0.5
"86",5128,0.4375,0.25,0.5625,0.53125,0.375
"87",7139,0.34375,0.4375,0.5,0.625,0.6875
"88",7111,0.34375,0.4375,0.5,0.59375,0.625
"89",1004,0.46875,0.46875,0.46875,0.71875,0.625
"90",4168,0.5625,0.40625,0.59375,0.5,0.5625
"91",5061,0.46875,0.46875,0.75,0.34375,0.53125
"92",2134,0.53125,0.53125,0.4375,0.25,0.40625
"93",1165,0.375,0.5,0.40625,0.46875,0.4375
"94",6150,0.40625,0.4375,0.5625,0.4375,0.40625
"95",2122,0.71875,0.8125,0.78125,0.28125,0.25
"96",2042,0.46875,0.46875,0.4375,0.34375,0.46875
"97",2056,0.40625,0.34375,0.5625,0.6875,0.5625
"98",7098,0.53125,0.5,0.46875,0.375,0.1875
"99",4079,0.34375,0.5625,0.53125,0.40625,0.40625
"100",1101,0.4,0.44,0.48,0.52,0.28
"101",1115,0.34375,0.625,0.5,0.25,0.53125
"102",5159,0.625,0.59375,0.65625,0.4375,0.34375
"103",5011,0.5,0.53125,0.5625,0.53125,0.625
"104",2024,0.59375,0.6875,0.28125,0.4375,0.53125
"105",6097,0.46875,0.46875,0.4375,0.53125,0.34375
"106",6068,0.4375,0.46875,0.5,0.59375,0.5
"107",4124,0.4375,0.375,0.5625,0.4375,0.59375
"108",4118,0.375,0.5,0.5,0.5,0.6875
"109",2031,0.5625,0.625,0.1875,0.5,0.5
"110",7029,0.34375,0.46875,0.46875,0.25,0.28125
"111",3065,0.28125,0.53125,0.40625,0.5,0.5625
"112",4085,0.375,0.46875,0.46875,0.65625,0.875
"113",7003,0.96875,0.96875,0.96875,0,0.375
"114",2153,0.5,0.375,0.5625,0.5,0.4375
"115",1089,0.34375,0.46875,0.46875,0.40625,0.375
"116",3107,0.46875,0.46875,0.46875,0.4375,0.375
"117",7016,0.857142857142857,0.857142857142857,0.80952380952381,0.19047619047619,0.428571428571429
"118",6126,0.25,0.34375,0.625,0.5,0.53125
"119",3103,0.4375,0.4375,0.5,0.8125,0.6875
"120",4136,0.4375,0.46875,0.46875,0.625,0.625
"121",6053,0.448275862068966,0.551724137931034,0.413793103448276,0.551724137931034,0.241379310344828
"122",7013,0.3125,0.46875,0.46875,0.53125,0.4375
"123",4108,0.375,0.4375,0.5,0.375,0.21875
"124",1070,0.4375,0.46875,0.46875,0.53125,0.625
"125",1071,0.34375,0.25,0.59375,0.625,0.6875
"126",6087,0.75,0.875,0.875,0.1875,0.40625
"127",2008,0.40625,0.34375,0.5625,0.40625,0.75
"128",7170,0.380952380952381,0.238095238095238,0.619047619047619,0.380952380952381,0.619047619047619
"129",5001,0.46875,0.4375,0.5,0.46875,0.84375
"130",7164,0.4375,0.46875,0.46875,0.625,0.53125
"131",5149,0.375,0.46875,0.5,0.46875,0.125
